run,generation,best_fitness,algorithm,instance
3,91,14278,EA,tai20_5_0.fsp
3,92,14278,EA,tai20_5_0.fsp
3,93,14278,EA,tai20_5_0.fsp
3,94,14278,EA,tai20_5_0.fsp
3,95,14278,EA,tai20_5_0.fsp
3,96,14278,EA,tai20_5_0.fsp
3,97,14278,EA,tai20_5_0.fsp
3,98,14278,EA,tai20_5_0.fsp
3,99,14278,EA,tai20_5_0.fsp
4,0,16103,EA,tai20_5_0.fsp
4,1,15988,EA,tai20_5_0.fsp
4,2,15988,EA,tai20_5_0.fsp
4,3,15988,EA,tai20_5_0.fsp
4,4,15984,EA,tai20_5_0.fsp
4,5,15891,EA,tai20_5_0.fsp
4,6,15884,EA,tai20_5_0.fsp
4,7,15629,EA,tai20_5_0.fsp
4,8,15629,EA,tai20_5_0.fsp
4,9,15629,EA,tai20_5_0.fsp
4,10,15626,EA,tai20_5_0.fsp
4,11,15415,EA,tai20_5_0.fsp
4,12,15415,EA,tai20_5_0.fsp
4,13,15415,EA,tai20_5_0.fsp
4,14,15415,EA,tai20_5_0.fsp
4,15,15359,EA,tai20_5_0.fsp
4,16,15359,EA,tai20_5_0.fsp
4,17,15253,EA,tai20_5_0.fsp
4,18,15106,EA,tai20_5_0.fsp
4,19,14903,EA,tai20_5_0.fsp
4,20,14873,EA,tai20_5_0.fsp
4,21,14873,EA,tai20_5_0.fsp
4,22,14873,EA,tai20_5_0.fsp
4,23,14873,EA,tai20_5_0.fsp
4,24,14795,EA,tai20_5_0.fsp
4,25,14749,EA,tai20_5_0.fsp
4,26,14749,EA,tai20_5_0.fsp
4,27,14749,EA,tai20_5_0.fsp
4,28,14749,EA,tai20_5_0.fsp
4,29,14749,EA,tai20_5_0.fsp
4,30,14672,EA,tai20_5_0.fsp
4,31,14672,EA,tai20_5_0.fsp
4,32,14672,EA,tai20_5_0.fsp
4,33,14672,EA,tai20_5_0.fsp
4,34,14672,EA,tai20_5_0.fsp
4,35,14672,EA,tai20_5_0.fsp
4,36,14672,EA,tai20_5_0.fsp
4,37,14672,EA,tai20_5_0.fsp
4,38,14618,EA,tai20_5_0.fsp
4,39,14618,EA,tai20_5_0.fsp
4,40,14618,EA,tai20_5_0.fsp
4,41,14618,EA,tai20_5_0.fsp
4,42,14618,EA,tai20_5_0.fsp
4,43,14618,EA,tai20_5_0.fsp
4,44,14618,EA,tai20_5_0.fsp
4,45,14618,EA,tai20_5_0.fsp
4,46,14618,EA,tai20_5_0.fsp
4,47,14618,EA,tai20_5_0.fsp
4,48,14618,EA,tai20_5_0.fsp
4,49,14618,EA,tai20_5_0.fsp
4,50,14535,EA,tai20_5_0.fsp
4,51,14535,EA,tai20_5_0.fsp
4,52,14535,EA,tai20_5_0.fsp
4,53,14535,EA,tai20_5_0.fsp
4,54,14535,EA,tai20_5_0.fsp
4,55,14535,EA,tai20_5_0.fsp
4,56,14535,EA,tai20_5_0.fsp
4,57,14535,EA,tai20_5_0.fsp
4,58,14535,EA,tai20_5_0.fsp
4,59,14507,EA,tai20_5_0.fsp
4,60,14507,EA,tai20_5_0.fsp
4,61,14507,EA,tai20_5_0.fsp
4,62,14507,EA,tai20_5_0.fsp
4,63,14507,EA,tai20_5_0.fsp
4,64,14507,EA,tai20_5_0.fsp
4,65,14507,EA,tai20_5_0.fsp
4,66,14507,EA,tai20_5_0.fsp
4,67,14507,EA,tai20_5_0.fsp
4,68,14507,EA,tai20_5_0.fsp
4,69,14507,EA,tai20_5_0.fsp
4,70,14507,EA,tai20_5_0.fsp
4,71,14507,EA,tai20_5_0.fsp
4,72,14507,EA,tai20_5_0.fsp
4,73,14507,EA,tai20_5_0.fsp
4,74,14507,EA,tai20_5_0.fsp
4,75,14425,EA,tai20_5_0.fsp
4,76,14425,EA,tai20_5_0.fsp
4,77,14425,EA,tai20_5_0.fsp
4,78,14425,EA,tai20_5_0.fsp
4,79,14425,EA,tai20_5_0.fsp
4,80,14425,EA,tai20_5_0.fsp
4,81,14425,EA,tai20_5_0.fsp
4,82,14425,EA,tai20_5_0.fsp
4,83,14425,EA,tai20_5_0.fsp
4,84,14425,EA,tai20_5_0.fsp
4,85,14425,EA,tai20_5_0.fsp
4,86,14425,EA,tai20_5_0.fsp
4,87,14425,EA,tai20_5_0.fsp
4,88,14425,EA,tai20_5_0.fsp
4,89,14425,EA,tai20_5_0.fsp
4,90,14425,EA,tai20_5_0.fsp
4,91,14425,EA,tai20_5_0.fsp
4,92,14425,EA,tai20_5_0.fsp
4,93,14425,EA,tai20_5_0.fsp
4,94,14425,EA,tai20_5_0.fsp
4,95,14407,EA,tai20_5_0.fsp
4,96,14407,EA,tai20_5_0.fsp
4,97,14407,EA,tai20_5_0.fsp
4,98,14407,EA,tai20_5_0.fsp
4,99,14407,EA,tai20_5_0.fsp
5,0,16236,EA,tai20_5_0.fsp
5,1,16120,EA,tai20_5_0.fsp
5,2,16120,EA,tai20_5_0.fsp
5,3,15957,EA,tai20_5_0.fsp
5,4,15869,EA,tai20_5_0.fsp
5,5,15678,EA,tai20_5_0.fsp
5,6,15678,EA,tai20_5_0.fsp
5,7,15535,EA,tai20_5_0.fsp
5,8,15535,EA,tai20_5_0.fsp
5,9,15535,EA,tai20_5_0.fsp
5,10,15087,EA,tai20_5_0.fsp
5,11,15087,EA,tai20_5_0.fsp
5,12,15087,EA,tai20_5_0.fsp
5,13,15087,EA,tai20_5_0.fsp
5,14,15087,EA,tai20_5_0.fsp
5,15,15087,EA,tai20_5_0.fsp
5,16,15050,EA,tai20_5_0.fsp
5,17,15050,EA,tai20_5_0.fsp
5,18,15050,EA,tai20_5_0.fsp
5,19,15050,EA,tai20_5_0.fsp
5,20,15050,EA,tai20_5_0.fsp
5,21,14970,EA,tai20_5_0.fsp
5,22,14970,EA,tai20_5_0.fsp
5,23,14970,EA,tai20_5_0.fsp
5,24,14887,EA,tai20_5_0.fsp
5,25,14887,EA,tai20_5_0.fsp
5,26,14887,EA,tai20_5_0.fsp
5,27,14887,EA,tai20_5_0.fsp
5,28,14885,EA,tai20_5_0.fsp
5,29,14885,EA,tai20_5_0.fsp
5,30,14885,EA,tai20_5_0.fsp
5,31,14885,EA,tai20_5_0.fsp
5,32,14845,EA,tai20_5_0.fsp
5,33,14823,EA,tai20_5_0.fsp
5,34,14823,EA,tai20_5_0.fsp
5,35,14823,EA,tai20_5_0.fsp
5,36,14717,EA,tai20_5_0.fsp
5,37,14717,EA,tai20_5_0.fsp
5,38,14717,EA,tai20_5_0.fsp
5,39,14717,EA,tai20_5_0.fsp
5,40,14717,EA,tai20_5_0.fsp
5,41,14717,EA,tai20_5_0.fsp
5,42,14717,EA,tai20_5_0.fsp
5,43,14717,EA,tai20_5_0.fsp
5,44,14687,EA,tai20_5_0.fsp
5,45,14687,EA,tai20_5_0.fsp
5,46,14687,EA,tai20_5_0.fsp
5,47,14687,EA,tai20_5_0.fsp
5,48,14687,EA,tai20_5_0.fsp
5,49,14681,EA,tai20_5_0.fsp
5,50,14681,EA,tai20_5_0.fsp
5,51,14681,EA,tai20_5_0.fsp
5,52,14593,EA,tai20_5_0.fsp
5,53,14593,EA,tai20_5_0.fsp
5,54,14593,EA,tai20_5_0.fsp
5,55,14593,EA,tai20_5_0.fsp
5,56,14592,EA,tai20_5_0.fsp
5,57,14592,EA,tai20_5_0.fsp
5,58,14592,EA,tai20_5_0.fsp
5,59,14592,EA,tai20_5_0.fsp
5,60,14504,EA,tai20_5_0.fsp
5,61,14504,EA,tai20_5_0.fsp
5,62,14504,EA,tai20_5_0.fsp
5,63,14504,EA,tai20_5_0.fsp
5,64,14478,EA,tai20_5_0.fsp
5,65,14478,EA,tai20_5_0.fsp
5,66,14478,EA,tai20_5_0.fsp
5,67,14478,EA,tai20_5_0.fsp
5,68,14478,EA,tai20_5_0.fsp
5,69,14478,EA,tai20_5_0.fsp
5,70,14478,EA,tai20_5_0.fsp
5,71,14422,EA,tai20_5_0.fsp
5,72,14422,EA,tai20_5_0.fsp
5,73,14422,EA,tai20_5_0.fsp
5,74,14422,EA,tai20_5_0.fsp
5,75,14422,EA,tai20_5_0.fsp
5,76,14422,EA,tai20_5_0.fsp
